CatSword,Cat sword,貓寶劍
CatSwordDesc,Kill all enemies,清除場內所有障礙物
CatStick,Cat stick,貓權杖
CatStickDesc,Bounce enemies for 5 seconds,障礙物自動彈開5秒
CatDoll,Cat doll,貓娃娃
CatDollDesc,Substute one death for player,代替角色死亡一次
BellCat,Yellow cat,小黃貓
BellCatDesc,Basic character,基本角色
NinjaCat,Ninja cat,忍者貓
NinjaCatDesc,random ability: ,隨機能力: 隨機發生替身術
TarzanCat,Tarzan cat,泰山貓
TarzanCatDesc,random ability: ,隨機能力: 隨機將中型障礙物變成小型障礙物
CandyCat,Candy cat,糖果貓
CandyCatDesc,random ability: ,隨機能力: 隨機將螢幕障礙物變成餅乾
PumpkinCat,Pumpkin cat,南瓜貓
PumpkinCatDesc,random ability: ,隨機能力: 隨機3秒內障礙物自動彈開
IronCat,Iron cat,鋼鐵貓
IronCatDesc,Kill all enemies every 5 seconds,每5秒清除場內障礙物
HulkCat,Hulk cat,浩克貓
HulkCatDesc,Enlarge and vulnerable within 3 seconds  every 5 seconds,每5秒觸發變大並3秒無敵
GhostCat,Ghost cat,鬼魂貓
GhostCatDesc,Invisible within 2 sceonds every 7 seconds,每7秒觸發並消失2秒
OneCoinPack,One pack,一袋貓金幣
OneCoinPackDesc,Add 10000 coins,加10000貓幣
TwoCoinPack,Two pack,兩袋貓金幣
TwoCoinPackDesc,Add 20000 coins,加20000貓幣
ThreeCoinPack,Three pack,三袋貓金幣
ThreeCoinPackDesc,Add 30500 coins,加30500貓幣
CoinBox,Coin box,一箱貓金幣
CoinBoxDesc,Add 51000 coins,加51000貓幣
ItemBox,Item box,道具箱
ItemBoxDesc,Give 5 items,所有道具x5 
LifeRecovered,Your life is fully recovered,你的生命已經全部回復
Time,Time,時間
Resume,Resume,返回遊戲
Restart,Restart,重新開始
Exit,Exit,離開遊戲
Distance,Distance,公里數
FBPost,Post to Facebook wall and receive 1 life,推播FB領取生命1
Ready,Ready,準備
Go,Go,開始
NotEnoughLife,Not enough life,生命不夠
NotEnoughLifeDesc,Not enough life,生命不夠
Loading,Loading...,讀取中...
CanNotLoginFB,Can not login FB,無法登入FB
FBRank,Friend rank,好友排行
WorldRank,World rank,世界排行
Credit,:Credit:,:開發人員名單:
Designer,-Desinger-,-企劃-
Programmer,-Programmer-,-程式-
Art,-Art-,-美術-
MusicSound,-Music/Sound-,-音樂/音效-
Tut_a_1,Recover 1 life every 10 minutes,每10分鐘回復1次生命
Tut_a_2,Time left to recover 1 life,回復1次生命剩餘時間
Tut_a_3,Number of coins you have,所擁有的金幣
Tut_a_4,Store,商店
Tut_a_5,Rank,排行榜
Tut_a_6,Tutorial,教學
Tut_a_7,Setting,設定
Tut_a_8,Credit,開發人員名單
Tut_b_1,Sound,遊戲音效
Tut_b_2,Music,遊戲音樂
Tut_b_3,Rate this game,遊戲評分
Tut_b_4,Select language,語言切換
Tut_b_5,More ENL games,更多ENL遊戲
Tut_c_1,"Buy items/characters/coins
Equip characters","購買 道具/角色/金幣
裝備 角色"
Tut_c_2,Equip items,裝備 道具
Tut_d_1,Equip items that you have bought from store,裝備你在商城中購買的道具
Tut_d_2,Tap to equip this item,點選按鍵裝備道具
Tut_d_3,Tap item here to unequip,點選這裡的道具並從裝備移除
Tut_e_1,"Choose different character to play game
PS:You can buy character with coins","選擇不同角色來遊玩遊戲
PS:角色可以使用金幣購買"
Tut_e_2,Tap here to choose this character,點選按鍵選擇角色
Tut_f_1,Your health portion: lost them you will die,你的HP: 扣玩遊戲結束
Tut_f_2,"Fish bone
This will effect your score
You are invulnerable within 5 seconds if you get 50 Fish bone","魚骨頭
影響你的分數
得到50個5秒內無敵"
Tut_f_3,"Coin
You can spend it in store","金幣
購買商店裡的物品"
Tut_f_4,Pause game,暫停遊戲
Tut_f_5,Items that you have equipped with,你裝備的道具
Tut_g_1,"Drag your character around to avoid incoming obstacle or use items 
to power up you character
PS:Most characters have special ability ","拖曳你的角色來避開來襲的障礙物或使用道具來避開攻擊
PS:大部份的角色都有特殊能力"
Error,Error,錯誤
EnterAccount,Please enter account,請輸入帳號
EnterPassword,Please enter password,請輸入密碼
Logging,Logging...,登入中...
LoginSuccess,Login success,登入成功
LoginFail,Login fail,登入失敗
CreatingAccount,Creating account...,帳號建立中...
CreateAccountSuccess,Create account success,帳號建立成功
CreateAccountFail,Create account fail,建立帳號失敗
NoInternet,No internet connection,無網路連線
Account,Account,帳號
Password,Password,密碼
Login,Login,登入
CreateAccount,Create account,建立帳號
SyncData,Synchronizing data...,資料同步中...
SyncDataSuccess,Data synchronization success,資料同步成功
SyncDataFail,Data synchronization fail,資料同步失敗
Authorizing,Authorizing...,認證中...
AuthorizationSuccess,Authorization success,認證成功
AuthorizationFail,Authorization fail,認證失敗
LoginOtehrDevice,You have logged in from other device,你已經從另一個裝置登入
PlayerProfile,Player profile,玩家資料
NewPassword,New password,新密碼
ChangePassword,Change password,更改密碼
EnterNewPassword,Please enter new password,請輸入新密碼
ChangePasswordFail,Change password fail,更改密碼失敗
FBAppName,Clever Cat,喵喵大冒險
FBCaption,ENL,ENL
FBDesc,Come and play Clever Cat~!,來玩喵喵大冒險吧~!
RestorePurchaseTitle,Restore purchase,回復購買項目
RestoringPurchase,Restoring...,正在回復中...
RestorePurchaseSuccess,Restore purchase successful,回復購買項目成功
RestorePurchaseFail,Restore purchase fail,回復購買項目失敗
